round,fedprox_global_mean,fedprox_global_wt,fedprox_global_tc,fedprox_global_et,fedprox_c0_mean,fedprox_c0_wt,fedprox_c0_tc,fedprox_c0_et,fedprox_c1_mean,fedprox_c1_wt,fedprox_c1_tc,fedprox_c1_et,fedavg_global_mean,fedavg_global_wt,fedavg_global_tc,fedavg_global_et,fedavg_c0_mean,fedavg_c0_wt,fedavg_c0_tc,fedavg_c0_et,fedavg_c1_mean,fedavg_c1_wt,fedavg_c1_tc,fedavg_c1_et
0,0.06612507998943329,0.1329217404127121,0.06489578634500504,0.0005577087285928428,0.07090152055025101,0.14753343164920807,0.06507565081119537,9.546543878968805e-05,0.0694374367594719,0.13125663995742798,0.07478702068328857,0.0022686482407152653,0.006204015109688044,0.016322942450642586,0.002244117669761181,4.498599446378648e-05,0.005804866552352905,0.016358444467186928,0.001026816084049642,2.9338903914322145e-05,0.01060444861650467,0.027532879263162613,0.004210846498608589,6.961845065234229e-05
1,0.0620233416557312,0.1168329119682312,0.04958714544773102,0.019649960100650787,0.06435710936784744,0.13064618408679962,0.05085859075188637,0.011566569097340107,0.06718198210000992,0.11471177637577057,0.056539636105298996,0.03029453754425049,0.06661040335893631,0.12042579054832458,0.058726321905851364,0.02067909948527813,0.07062853127717972,0.13680291175842285,0.06288664788007736,0.012196030467748642,0.07041848450899124,0.11485974490642548,0.06402003765106201,0.03237567096948624
2,0.07227841764688492,0.14177663624286652,0.05553826317191124,0.019520362839102745,0.07492095232009888,0.15550851821899414,0.05722418427467346,0.012030147016048431,0.07739521563053131,0.14100533723831177,0.06287510693073273,0.02830520272254944,0.08737930655479431,0.16096366941928864,0.07760492712259293,0.023569321259856224,0.09297776222229004,0.1812421977519989,0.08340486884117126,0.014286212623119354,0.08919348567724228,0.14866933226585388,0.08342951536178589,0.03548159822821617
3,0.0771181657910347,0.15157382190227509,0.05887499079108238,0.02090567909181118,0.08007948845624924,0.1654735505580902,0.061870209872722626,0.012894688174128532,0.08110003918409348,0.14839467406272888,0.06509383767843246,0.029811594635248184,0.10186108946800232,0.18651996552944183,0.09182640165090561,0.027236908674240112,0.10802333801984787,0.20748963952064514,0.09951907396316528,0.017061300575733185,0.10189149528741837,0.17106783390045166,0.09512156248092651,0.03948508948087692
4,0.09537316113710403,0.18865157663822174,0.07182124257087708,0.02564665675163269,0.09764989465475082,0.20275625586509705,0.07474945485591888,0.015443969517946243,0.09989701956510544,0.1832793951034546,0.0797685831785202,0.036643050611019135,0.11968639492988586,0.21977637708187103,0.10757585614919662,0.03170694783329964,0.12409895658493042,0.23753273487091064,0.11513128876686096,0.019632838666439056,0.121358223259449,0.2070528268814087,0.11162973940372467,0.045392125844955444
5,0.10424506664276123,0.20312899351119995,0.08058004826307297,0.029026135802268982,0.10588192194700241,0.2165578007698059,0.08361884951591492,0.01746910810470581,0.10863994807004929,0.196457177400589,0.08851279318332672,0.04094984754920006,0.12850753962993622,0.23025137186050415,0.11877737194299698,0.036493878811597824,0.1324278712272644,0.24638459086418152,0.1283302754163742,0.022568760439753532,0.12857525050640106,0.21600323915481567,0.11828620731830597,0.05143633857369423
6,0.11406569927930832,0.21578364074230194,0.09240002185106277,0.03401340916752815,0.11314325779676437,0.22613877058029175,0.09318622946739197,0.020104771479964256,0.12054586410522461,0.2095411866903305,0.1036958396434784,0.04840058833360672,0.13981784880161285,0.24770064651966095,0.13171638548374176,0.04003650322556496,0.1455215960741043,0.2667677402496338,0.14466089010238647,0.025136170908808708,0.13712386786937714,0.22856122255325317,0.12717998027801514,0.05563042312860489
7,0.1489611268043518,0.27919426560401917,0.12216773629188538,0.04552139341831207,0.14495505392551422,0.286304771900177,0.12201666831970215,0.026543719694018364,0.15884360671043396,0.2744984030723572,0.1374719887971878,0.0645604357123375,0.16974766552448273,0.2961409389972687,0.16338489949703217,0.04971720650792122,0.16988904774188995,0.3083546757698059,0.1714354306459427,0.0298770684748888,0.17153286933898926,0.2806580364704132,0.16472411155700684,0.06921645998954773
8,0.1715661734342575,0.31124916672706604,0.14724719524383545,0.05620214343070984,0.1629844307899475,0.313821017742157,0.1431838870048523,0.03194839134812355,0.18486444652080536,0.3062469959259033,0.16893130540847778,0.07941503822803497,0.20674334466457367,0.3510686159133911,0.20765364170074463,0.06150774285197258,0.20385438203811646,0.36020541191101074,0.21363124251365662,0.03772647678852081,0.21398591995239258,0.34009337425231934,0.2190532088279724,0.08281116187572479
9,0.2085488885641098,0.36621689796447754,0.18613509833812714,0.07329466193914413,0.19394899904727936,0.3633521795272827,0.17667683959007263,0.04181797429919243,0.22863763570785522,0.36828532814979553,0.21569815278053284,0.1019294410943985,0.2396589070558548,0.4008135497570038,0.2450520396232605,0.07311117649078369,0.2273981124162674,0.4004099369049072,0.23901456594467163,0.04276982694864273,0.2646581828594208,0.4071662425994873,0.2829211354255676,0.10388720780611038
10,0.2068219780921936,0.3493987023830414,0.19311338663101196,0.07795386761426926,0.1956409066915512,0.35009998083114624,0.18998989462852478,0.0468328557908535,0.22194938361644745,0.3423001170158386,0.2170727252960205,0.10647526383399963,0.2610417306423187,0.42304226756095886,0.27112501859664917,0.08895789831876755,0.25735577940940857,0.4358326196670532,0.2774338722229004,0.05880078673362732,0.27263343334198,0.41619014739990234,0.28148189187049866,0.12022829055786133
11,0.24973691999912262,0.41050001978874207,0.24010872840881348,0.09860198944807053,0.22646093368530273,0.39953839778900146,0.2226352095603943,0.057209163904190063,0.2789515554904938,0.41757628321647644,0.2848910689353943,0.13438737392425537,0.20285998284816742,0.3105563819408417,0.22249726951122284,0.07552628964185715,0.2014141082763672,0.3211827576160431,0.23738321661949158,0.04567635804414749,0.19044233858585358,0.27728480100631714,0.20342645049095154,0.09061579406261444
12,0.2576998770236969,0.4144916534423828,0.2532358467578888,0.10537219047546387,0.2388484925031662,0.40978652238845825,0.24118301272392273,0.06557594239711761,0.2922009527683258,0.43121373653411865,0.2978598177433014,0.14752934873104095,0.30118879675865173,0.46930602192878723,0.3214569389820099,0.1128033921122551,0.2880241572856903,0.47459253668785095,0.3171526789665222,0.07232725620269775,0.32769975066185,0.47334760427474976,0.3521546721458435,0.1575969159603119
13,0.26413074135780334,0.4140596389770508,0.26611682772636414,0.11221567541360855,0.23091167211532593,0.39481234550476074,0.2354547083377838,0.062467992305755615,0.30792298913002014,0.4335976243019104,0.33404332399368286,0.15612807869911194,0.3041587471961975,0.4579882323741913,0.3319641649723053,0.12252384424209595,0.2764261066913605,0.43904030323028564,0.31582963466644287,0.07440835237503052,0.3315947949886322,0.4715211093425751,0.3670305609703064,0.15623274445533752
14,0.2585051357746124,0.39021405577659607,0.26301565766334534,0.12228574603796005,0.2192901372909546,0.36303001642227173,0.22642302513122559,0.06841739267110825,0.29976701736450195,0.41427159309387207,0.3257066011428833,0.15932287275791168,0.3568122684955597,0.5090232491493225,0.3928811550140381,0.16853244602680206,0.30003437399864197,0.4620617628097534,0.33915960788726807,0.09888170659542084,0.42162561416625977,0.5566813945770264,0.48493942618370056,0.2232559621334076
15,0.3521965444087982,0.5301104187965393,0.3661665618419647,0.16031266748905182,0.30603525042533875,0.503438413143158,0.3186078667640686,0.0960594117641449,0.42430245876312256,0.5835386514663696,0.4595508575439453,0.22981789708137512,0.35836946964263916,0.5282370448112488,0.38636019825935364,0.16051113605499268,0.3192911148071289,0.5151103734970093,0.3428760766983032,0.0998869240283966,0.44635334610939026,0.5863707065582275,0.50603187084198,0.24665746092796326
16,0.39570486545562744,0.5734217166900635,0.4125699996948242,0.2011229246854782,0.3416880667209625,0.5460478067398071,0.35684382915496826,0.12217260897159576,0.4705773890018463,0.6272659301757812,0.5161635279655457,0.26830267906188965,0.41861000657081604,0.6069557070732117,0.4455368220806122,0.20333749055862427,0.3537460267543793,0.571601390838623,0.37374743819236755,0.11588919162750244,0.5227457880973816,0.675312876701355,0.586145281791687,0.30677926540374756
17,0.2731921672821045,0.38489580154418945,0.2968769073486328,0.1378038078546524,0.2589474618434906,0.3979581594467163,0.28465384244918823,0.09423040598630905,0.30743667483329773,0.39040303230285645,0.3634885549545288,0.16841848194599152,0.4406854808330536,0.6143161654472351,0.48220059275627136,0.22553963959217072,0.38665255904197693,0.5931175351142883,0.4285961985588074,0.1382438689470291,0.525888979434967,0.6580751538276672,0.5947152972221375,0.32487648725509644
18,0.42728355526924133,0.5899562239646912,0.45401421189308167,0.23788027465343475,0.36179354786872864,0.5601070523262024,0.3818638324737549,0.14340975880622864,0.511752724647522,0.6366944313049316,0.5780270099639893,0.320536732673645,0.45872876048088074,0.6211776733398438,0.4989446699619293,0.25606396794319153,0.3974895477294922,0.590357780456543,0.43578875064849854,0.16632212698459625,0.5464386940002441,0.6725662350654602,0.6174302101135254,0.3493196368217468
19,0.4293340742588043,0.5559483170509338,0.4550577700138092,0.2769961357116699,0.36696600914001465,0.5384870171546936,0.38175883889198303,0.18065209686756134,0.483242392539978,0.5760113000869751,0.5689284801483154,0.30478739738464355,0.46688178181648254,0.6330810189247131,0.499066025018692,0.2684983015060425,0.40978071093559265,0.6111131906509399,0.44228219985961914,0.1759466677904129,0.5441096425056458,0.673602819442749,0.6105707883834839,0.3481552302837372
20,0.4844993054866791,0.6130021214485168,0.5013206601142883,0.33917513489723206,0.40421369671821594,0.5774890184402466,0.40767747163772583,0.22747460007667542,0.5742606520652771,0.6629436016082764,0.6481334567070007,0.4117048978805542,0.5294817090034485,0.6728430390357971,0.553327739238739,0.36227431893348694,0.45739826560020447,0.6386922597885132,0.47371041774749756,0.2597920596599579,0.6101807355880737,0.7391648292541504,0.6687363982200623,0.42264091968536377
21,0.5107429027557373,0.6692173480987549,0.5261922478675842,0.33681920170783997,0.4692120850086212,0.6570972204208374,0.4822397828102112,0.2682991921901703,0.5531196594238281,0.6972739100456238,0.5893728733062744,0.3727121949195862,0.5163285136222839,0.6790042519569397,0.5437946915626526,0.32618650794029236,0.44510793685913086,0.6409515142440796,0.4701439440250397,0.22422844171524048,0.6161685585975647,0.7515425682067871,0.66779625415802,0.4291667938232422
22,0.541350245475769,0.6524834632873535,0.5502139925956726,0.4213532507419586,0.4711531698703766,0.6214926242828369,0.4669427275657654,0.3250240981578827,0.6061090230941772,0.6987116932868958,0.6733187437057495,0.4462965428829193,0.5651760101318359,0.7067645192146301,0.6029002070426941,0.3858633041381836,0.46621599793434143,0.6533176898956299,0.5036792755126953,0.24165107309818268,0.6751664280891418,0.7744364738464355,0.7488644123077393,0.5021984577178955
23,0.5352880358695984,0.6266123056411743,0.5495641827583313,0.4296875,0.4690195322036743,0.6008029580116272,0.4708763360977173,0.3353792428970337,0.5901708006858826,0.6646814346313477,0.6632502675056458,0.44258081912994385,0.6076457500457764,0.7215847969055176,0.6080706715583801,0.49328184127807617,0.5317937135696411,0.6836484670639038,0.5298367738723755,0.38189586997032166,0.6590830087661743,0.7813472747802734,0.6973665356636047,0.49853530526161194
24,0.5581863522529602,0.6517043709754944,0.5543205142021179,0.4685342311859131,0.4877380132675171,0.6205118894577026,0.4688401222229004,0.37386199831962585,0.6097085475921631,0.6974741220474243,0.6784952878952026,0.45315617322921753,0.6042935848236084,0.6829943060874939,0.5882227420806885,0.541663646697998,0.5398757457733154,0.6307456493377686,0.5212968587875366,0.4675846993923187,0.6161553859710693,0.757147490978241,0.6232565641403198,0.46806222200393677
25,0.5396892428398132,0.6370876431465149,0.5315482020378113,0.45043182373046875,0.4557393491268158,0.5973554849624634,0.4426114559173584,0.327251136302948,0.566961407661438,0.6953954696655273,0.6401823163032532,0.36530646681785583,0.6499879956245422,0.7176868915557861,0.6453930735588074,0.5868839025497437,0.5749109983444214,0.6657214760780334,0.5541449189186096,0.5048666000366211,0.6864771842956543,0.7972677946090698,0.7280429601669312,0.5341209173202515
26,0.6233470439910889,0.7068572044372559,0.5988093018531799,0.5643746256828308,0.5470149517059326,0.6699050664901733,0.5016548037528992,0.46948498487472534,0.6857821345329285,0.7678921222686768,0.7449595928192139,0.54449462890625,0.6388404965400696,0.7110392451286316,0.6199776530265808,0.5855045914649963,0.556735098361969,0.654737114906311,0.5215654373168945,0.4939028024673462,0.6889517307281494,0.7989991307258606,0.7208267450332642,0.5470292568206787
27,0.6090617179870605,0.7327754497528076,0.6023707985877991,0.4920389652252197,0.5413575172424316,0.6969670057296753,0.5310814380645752,0.39602410793304443,0.6672309041023254,0.7970561981201172,0.7046476602554321,0.49998897314071655,0.6534507870674133,0.7428510785102844,0.644809901714325,0.5726914405822754,0.5609955191612244,0.6979930400848389,0.538821280002594,0.446172297000885,0.7358524203300476,0.8124743103981018,0.7786487936973572,0.6164339780807495
28,0.6392706036567688,0.7203777432441711,0.6090622544288635,0.5883719325065613,0.5642518401145935,0.6804637908935547,0.5090118050575256,0.503279983997345,0.6919450759887695,0.7810391187667847,0.7518837451934814,0.542912483215332,0.6409593224525452,0.7116422057151794,0.6210532188415527,0.5901825428009033,0.5535057187080383,0.6488444805145264,0.5282818078994751,0.4833909273147583,0.6810017228126526,0.795770525932312,0.7171640992164612,0.5300706028938293
29,0.6069150567054749,0.6631205677986145,0.5872271060943604,0.5703975558280945,0.5575993061065674,0.6302616000175476,0.5103089213371277,0.5322273969650269,0.6365880370140076,0.7242281436920166,0.6917662620544434,0.4937697947025299,0.6546313762664795,0.7333118319511414,0.6173771023750305,0.6132052540779114,0.6038879156112671,0.684281587600708,0.5638035535812378,0.5635786056518555,0.6496922969818115,0.8098253011703491,0.6320468783378601,0.5072047710418701
30,0.656898021697998,0.7291560769081116,0.6335689425468445,0.6079689860343933,0.5667044520378113,0.685977578163147,0.5230478644371033,0.49108803272247314,0.7320165038108826,0.7915611267089844,0.788138747215271,0.6163495779037476,0.5967394709587097,0.6125991940498352,0.6177291870117188,0.5598900318145752,0.507886528968811,0.548313319683075,0.5254888534545898,0.44985735416412354,0.6705264449119568,0.7038402557373047,0.741503119468689,0.5662358999252319
